Date,Open,High,Low,Close,Volume,Change
01-Apr-21,290.01,303,287,299.12,"6,600",-0.82
02-Apr-21,294.99,295.1,284.06,287.64,"4,600",-11.48
05-Apr-21,280,280,280,280,600,-7.64
06-Apr-21,280.25,285.9,280.25,285,"1,000",5
07-Apr-21,279.02,290,278,288.84,"4,400",3.84
08-Apr-21,284,288,284,288,"2,600",-0.84
09-Apr-21,290,290,289.95,289.95,200,1.95
12-Apr-21,289,295,288.49,291.55,"1,500",1.6
13-Apr-21,290,293,287.5,288.09,"4,800",-3.46
14-Apr-21,289.06,289.06,289,289,300,0.91
16-Apr-21,285,285,285,285,100,-4
19-Apr-21,300,306.37,298,306.37,"8,300",21.37
20-Apr-21,309.5,329.34,309,329.34,"10,700",22.97
21-Apr-21,334.9,334.9,321.15,321.18,"3,700",-8.16
22-Apr-21,320,320,311.99,311.99,500,-9.19
23-Apr-21,302,302,302,302,100,-9.99
27-Apr-21,291.05,295,291.05,295,"1,000",-7
28-Apr-21,288,309,288,305,300,10
29-Apr-21,290,291.05,290,291.02,400,-13.98
30-Apr-21,282.1,283.05,281.01,282.2,600,-8.82
04-May-21,294,299,292,295.55,"1,300",13.35
05-May-21,295,310,295,305.18,"2,100",9.63
06-May-21,310,310,305,310,"1,300",4.82
17-May-21,314.99,314.99,310,313.74,"1,900",3.74
18-May-21,305,320,305,310,"2,300",-3.74
19-May-21,305,305,305,305,100,-5
21-May-21,309.99,310,290.31,307,800,2
24-May-21,302,302.5,301,301.64,"1,900",-5.36
25-May-21,300.5,312.99,300,312.25,"2,100",10.61
26-May-21,301.51,320,301.51,313.09,"4,300",0.84
27-May-21,305.2,313.98,305.2,308,"4,000",-5.09
28-May-21,313.88,326,308,320.7,"7,700",12.7
31-May-21,316.95,325,315,323.85,"5,900",3.15
01-Jun-21,323,327,316,325,"5,900",1.15
02-Jun-21,318,327,318,325,"3,500",0
03-Jun-21,320,324,318.5,318.5,"2,900",-6.5
04-Jun-21,306.32,320,306.32,318,"2,300",-0.5
07-Jun-21,311,325,311,323.76,"4,500",5.76
08-Jun-21,316.25,316.25,316.25,316.25,100,-7.51
09-Jun-21,319.95,334.75,315,329.38,"9,600",13.13
10-Jun-21,329.99,330,324.1,327.99,"2,700",-1.39
11-Jun-21,334.93,334.93,320.1,323.48,"1,200",-4.51
14-Jun-21,325,325,322,323,"1,500",-0.48
15-Jun-21,321,321,315,317,800,-6
16-Jun-21,315,316.5,315,315,"1,700",-2
17-Jun-21,329.89,329.89,315,315,"5,800",0
18-Jun-21,310,315,306.13,307,"1,200",-8
21-Jun-21,307.5,319,307.5,307.52,"1,300",0.52
22-Jun-21,313.98,320,313.1,313.5,"3,800",5.98
23-Jun-21,315.2,316,311.6,311.6,"2,500",-1.9
24-Jun-21,315.55,334.97,313.5,328.21,"26,700",16.61
25-Jun-21,334.98,352.82,330,352.82,"18,800",24.61
28-Jun-21,356,379.28,356,371.34,"16,300",18.52
29-Jun-21,370.99,370.99,347.25,349.39,"4,900",-21.95
30-Jun-21,358,358,343,343.15,"2,800",-6.24
01-Jul-21,348.99,351,346.94,348.72,"3,700",5.57
02-Jul-21,346,350,345,345.71,"1,900",-3.01
05-Jul-21,357.5,357.5,354.9,354.9,"2,500",9.19
06-Jul-21,346.02,374.44,346,363,"11,400",8.1
07-Jul-21,365,388,360,381.52,"7,500",18.52
08-Jul-21,370,410.13,366,404.31,"34,500",22.79
09-Jul-21,401.03,425,386.17,410.14,"32,800",5.83
12-Jul-21,415,422.93,413,418.99,"5,400",8.85
13-Jul-21,410,419.5,400,412.34,"4,300",-6.65
14-Jul-21,409.99,413.99,401.18,404.36,"3,400",-7.98
15-Jul-21,407,422.22,390.2,416.27,"15,000",11.91
16-Jul-21,416.98,418.97,402,409.08,"2,500",-7.19
19-Jul-21,406,413.6,406,411.58,"1,200",2.5
23-Jul-21,401.57,422,400,418.35,"2,700",6.77
26-Jul-21,418,420,418,420,900,1.65
27-Jul-21,421.98,425,408,422.51,"10,500",2.51
28-Jul-21,417,418,412.26,412.76,"1,200",-9.75
29-Jul-21,402.01,410,402,407.23,"1,500",-5.53
30-Jul-21,402.1,402.1,400.01,400.03,500,-7.2
02-Aug-21,401,407,401,402.53,800,2.5
03-Aug-21,408,415,400.01,409.35,"7,000",6.82
04-Aug-21,402.06,404.1,402.06,404.1,700,-5.25
05-Aug-21,400,407.99,400,400.69,"2,900",-3.41
06-Aug-21,402,422,396,415.16,"7,700",14.47
09-Aug-21,406.1,410,401,404.88,"4,100",-10.28
10-Aug-21,405,405,405,405,100,0.12
11-Aug-21,410,410,405.01,405.01,800,0.01
12-Aug-21,403.01,403.1,403.01,403.06,400,-1.95
13-Aug-21,409.9,409.9,402.1,402.12,900,-0.94
16-Aug-21,400.01,401,397,400,400,-2.12
20-Aug-21,402,402,398.17,398.72,"1,300",-1.28
23-Aug-21,403,404.2,402,403.95,900,5.23
24-Aug-21,400.02,420,400.01,413.95,"7,200",10
25-Aug-21,410,410,407.02,409,600,-4.95
26-Aug-21,416.98,416.98,404.02,405.36,400,-3.64
27-Aug-21,401.02,403,401.02,401.8,"1,200",-3.56
30-Aug-21,400.01,409.49,400,401.58,600,-0.22
31-Aug-21,405,408,402.1,408,600,6.42
01-Sep-21,406,406,406,406,100,-2
02-Sep-21,400,400,400,400,100,-6
03-Sep-21,409,409,409,409,100,9
06-Sep-21,398.53,403.99,390.06,396.65,400,-12.35
07-Sep-21,390,401,390,390,"2,900",-6.65
09-Sep-21,390,390,390,390,200,0
10-Sep-21,380.02,382,380.02,381.01,400,-8.99
13-Sep-21,382.01,386.5,380,386.5,"1,500",5.49
14-Sep-21,376.1,383,374,374,"2,100",-12.5
17-Sep-21,375,375,375,375,200,1
20-Sep-21,365,374,350,373,600,-2
24-Sep-21,371,400.97,371,395.31,"8,100",22.31
27-Sep-21,390.02,397,390,393.5,500,-1.81
28-Sep-21,385,385,385,385,100,-8.5
29-Sep-21,375,375,375,375,100,-10
30-Sep-21,389,400,386,398.75,"3,200",23.75
01-Oct-21,400,404,395,403,"1,700",4.25
04-Oct-21,377,383.16,373,382.58,"2,900",-20.42
05-Oct-21,368,398,368,389.75,"2,700",7.17
11-Oct-21,378,378,360.52,360.52,"4,300",-29.23
12-Oct-21,359.99,365,336,345.73,700,-14.79
13-Oct-21,340.01,365.9,340.01,357.41,"3,800",11.68
14-Oct-21,375,375,375,375,200,17.59
15-Oct-21,375,390,360.2,378.52,900,3.52
21-Oct-21,375,375,375,375,100,-3.52
22-Oct-21,366.36,394.96,366.36,394.96,200,19.96
29-Oct-21,368.03,388.48,368,377.18,"1,300",-17.78
01-Nov-21,380,380,380,380,100,2.82
02-Nov-21,371.02,388.88,371,386.31,"1,200",6.31
